event,parameter,station,date,min,max,mean,median,total,station_name
Matthew,atemp,delsjmet,2016-10-06,60.44,72.14,65.7902631578947,64.76,NA,Saint Jones River (SJ)
Matthew,atemp,delsjmet,2016-10-07,61.16,72.5,65.14625,63.32,NA,Saint Jones River (SJ)
Matthew,atemp,delsjmet,2016-10-08,63.5,67.46,65.52125,65.3,NA,Saint Jones River (SJ)
Matthew,atemp,delsjmet,2016-10-09,52.16,65.84,60.27125,61.7,NA,Saint Jones River (SJ)
Matthew,atemp,delsjmet,2016-10-10,46.04,62.96,54.408125,53.6,NA,Saint Jones River (SJ)
Matthew,atemp,delsjmet,2016-10-11,42.62,64.76,52.349375,47.75,NA,Saint Jones River (SJ)
Matthew,atemp,delsjmet,2016-10-12,47.66,52.16,50.1376470588235,50.36,NA,Saint Jones River (SJ)
Matthew,bp,delsjmet,2016-10-06,30.2386014646823,30.3271911174108,30.2766794733112,30.2681313489251,NA,Saint Jones River (SJ)
Matthew,bp,delsjmet,2016-10-07,30.1795416961966,30.297661233168,30.2493675683125,30.2386014646823,NA,Saint Jones River (SJ)
Matthew,bp,delsjmet,2016-10-08,29.9433026222537,30.1795416961966,30.068497027325,30.0614221592251,NA,Saint Jones River (SJ)
Matthew,bp,delsjmet,2016-10-09,29.884242853768,30.0614221592251,29.9417646074494,29.9433026222537,NA,Saint Jones River (SJ)
Matthew,bp,delsjmet,2016-10-10,30.0614221592251,30.3271911174108,30.218914875187,30.2533664068037,NA,Saint Jones River (SJ)
Matthew,bp,delsjmet,2016-10-11,30.3271911174108,30.4748405386251,30.4068602842744,30.401015828018,NA,Saint Jones River (SJ)
Matthew,bp,delsjmet,2016-10-12,30.3862508858965,30.3862508858965,30.3862508858965,30.3862508858965,NA,Saint Jones River (SJ)
Matthew,intensprcp,delsjmet,2016-10-06,0,0,0,0,NA,Saint Jones River (SJ)
Matthew,intensprcp,delsjmet,2016-10-07,0,0,0,0,NA,Saint Jones River (SJ)
Matthew,intensprcp,delsjmet,2016-10-08,0,0.15748031496063,0.0206692913385827,0,NA,Saint Jones River (SJ)
Matthew,intensprcp,delsjmet,2016-10-09,0,0.393700787401575,0.0803805774278215,0.047244094488189,NA,Saint Jones River (SJ)
Matthew,intensprcp,delsjmet,2016-10-10,0,0,0,0,NA,Saint Jones River (SJ)
Matthew,intensprcp,delsjmet,2016-10-11,0,0,0,0,NA,Saint Jones River (SJ)
Matthew,intensprcp,delsjmet,2016-10-12,0,0,0,0,NA,Saint Jones River (SJ)
Matthew,maxwspd,delsjmet,2016-10-06,3.57910696310289,13.8690394820237,8.37381522206226,8.72407322256329,NA,Saint Jones River (SJ)
Matthew,maxwspd,delsjmet,2016-10-07,1.34216511116358,13.4216511116358,7.23277865460375,7.04636683360881,NA,Saint Jones River (SJ)
Matthew,maxwspd,delsjmet,2016-10-08,1.78955348155144,10.5136267041147,5.9814893061752,5.81604881504219,NA,Saint Jones River (SJ)
Matthew,maxwspd,delsjmet,2016-10-09,6.71082555581791,28.6328557048231,18.0330135334982,17.7836877229175,NA,Saint Jones River (SJ)
