event,parameter,station,date,min,max,mean,median,station_name
Matthew,clevel,delblwq,2016-10-06,-0.5577428,2.3293964,1.37190914736842,1.6240158,Blackbird Landing (BL)
Matthew,clevel,delblwq,2016-10-07,-1.2795276,2.296588,0.876941191666667,1.066273,Blackbird Landing (BL)
Matthew,clevel,delblwq,2016-10-08,-1.148294,2.2637796,0.905990295833333,1.0826772,Blackbird Landing (BL)
Matthew,clevel,delblwq,2016-10-09,-1.2467192,2.132546,0.8130331625,0.984252,Blackbird Landing (BL)
Matthew,clevel,delblwq,2016-10-10,-1.476378,1.8700788,0.534503516666667,0.6889764,Blackbird Landing (BL)
Matthew,clevel,delblwq,2016-10-11,-1.0826772,2.296588,0.964430258333333,1.1811024,Blackbird Landing (BL)
Matthew,clevel,delblwq,2016-10-12,1.7060368,2.296588,2.06113948235294,2.0669292,Blackbird Landing (BL)
Matthew,clevel,deldswq,2016-10-06,2.3293964,2.3950132,2.35616114736842,2.3622048,Division Street (DS)
Matthew,clevel,deldswq,2016-10-07,2.296588,2.3622048,2.33315569583333,2.3293964,Division Street (DS)
Matthew,clevel,deldswq,2016-10-08,2.296588,2.3622048,2.331446925,2.3293964,Division Street (DS)
Matthew,clevel,deldswq,2016-10-09,2.296588,2.46063,2.36801462083333,2.3622048,Division Street (DS)
Matthew,clevel,deldswq,2016-10-10,2.3622048,2.9855644,2.64244321666667,2.6082678,Division Street (DS)
Matthew,clevel,deldswq,2016-10-11,2.6574804,3.0183728,2.84373642083333,2.8543308,Division Street (DS)
Matthew,clevel,deldswq,2016-10-12,2.5590552,2.6574804,2.61695237647059,2.624672,Division Street (DS)
Matthew,clevel,delllwq,2016-10-06,0.2296588,1.804462,1.25923819473684,1.4107612,Lebanon Landing (LL)
Matthew,clevel,delllwq,2016-10-07,-0.4593176,1.64042,0.761086529166667,0.8366142,Lebanon Landing (LL)
Matthew,clevel,delllwq,2016-10-08,-0.3608924,1.7060368,0.758010741666667,0.82021,Lebanon Landing (LL)
Matthew,clevel,delllwq,2016-10-09,0.2624672,1.9028872,1.1103592875,1.148294,Lebanon Landing (LL)
Matthew,clevel,delllwq,2016-10-10,0.0984252,1.8372704,1.07174106666667,1.148294,Lebanon Landing (LL)
Matthew,clevel,delllwq,2016-10-11,0.0656168,1.9028872,1.08712000416667,1.1646982,Lebanon Landing (LL)
Matthew,clevel,delllwq,2016-10-12,1.1811024,1.7716536,1.59603216470588,1.6732284,Lebanon Landing (LL)
Matthew,clevel,delslwq,2016-10-06,-0.656168,2.3950132,1.14225034736842,1.3287402,Scotton Landing (SL)
Matthew,clevel,delslwq,2016-10-07,-1.0498688,2.2637796,0.723493570833333,0.8530184,Scotton Landing (SL)
Matthew,clevel,delslwq,2016-10-08,-0.9186352,2.2637796,0.770313891666667,0.9514436,Scotton Landing (SL)
Matthew,clevel,delslwq,2016-10-09,-0.5577428,2.2637796,1.04850178333333,1.148294,Scotton Landing (SL)
Matthew,clevel,delslwq,2016-10-10,-0.6233596,2.3622048,1.00646602083333,1.0498688,Scotton Landing (SL)
Matthew,clevel,delslwq,2016-10-11,-0.8858268,2.296588,0.894712408333333,1.0826772,Scotton Landing (SL)
Matthew,clevel,delslwq,2016-10-12,-0.5577428,2.132546,0.899336141176471,0.984252,Scotton Landing (SL)
Matthew,do_mgl,delblwq,2016-10-06,4.2,6.9,5.02236842105263,4.8,Blackbird Landing (BL)
Matthew,do_mgl,delblwq,2016-10-07,3.1,6.9,5.33333333333333,5.2,Blackbird Landing (BL)
Matthew,do_mgl,delblwq,2016-10-08,3.7,6.8,5.38854166666667,5.3,Blackbird Landing (BL)
Matthew,do_mgl,delblwq,2016-10-09,3.9,7.5,6.11770833333333,5.8,Blackbird Landing (BL)
